country,country_code,col_belgium,col_britain,col_france,col_germany,col_italy,col_netherlands,col_portugal,col_spain,colstart_belgium,colstart_britain,colstart_france,colstart_germany,colstart_italy,colstart_netherlands,colstart_portugal,colstart_spain,colend_belgium,colend_britain,colend_france,colend_germany,colend_italy,colend_netherlands,colend_portugal,colend_spain,time_belgian,time_britain,time_france,time_germany,time_italy,time_netherlands,time_portugal,time_spain,time_total,independence,ncolonizers
Saint Lucia,LCA,0,1,1,0,0,0,0,0,,1814,1650,,,,,,,1973,1814,,,,,,0,159,164,0,0,0,0,0,323,1973,2
Saint Vincent and Grenadines,VCT,0,1,0,0,0,0,0,0,,1762,,,,,,,,1974,,,,,,,0,212,0,0,0,0,0,0,212,1974,1
Sudan,SDN,0,1,0,0,0,0,0,0,,1898,,,,,,,,1956,,,,,,,0,58,0,0,0,0,0,0,58,1956,1
Suriname,SUR,0,0,0,0,0,1,0,0,,,,,,1642,,,,,,,,1964,,,0,0,0,0,0,322,0,0,322,1964,1
Swaziland,SWZ,0,1,0,0,0,0,0,0,,1897,,,,,,,,1968,,,,,,,0,71,0,0,0,0,0,0,71,1968,1
Sweden,SWE,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Switzerland,CHE,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Syria,SYR,0,0,1,0,0,0,0,0,,,1922,,,,,,,,1944,,,,,,0,0,22,0,0,0,0,0,22,1944,1
Taiwan,TWN,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,TJK,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Tanzania,TZA,0,1,0,1,0,0,0,0,,1912,,1888,,,,,,1961,,1916,,,,,0,49,0,28,0,0,0,0,77,1961,2
Thailand,THA,0,0,1,0,0,0,0,0,,,1867,,,,,,,,1941,,,,,,0,0,74,0,0,0,0,0,74,1941,1
Timor-Leste,TLS,0,0,0,0,0,0,1,0,,,,,,,1642,,,,,,,,1975,,0,0,0,0,0,0,333,0,333,1975,1
Togo,TGO,0,0,1,1,0,0,0,0,,,1922,1884,,,,,,,1960,1914,,,,,0,0,38,30,0,0,0,0,68,1960,2
Tonga,TON,0,1,0,0,0,0,0,0,,1900,,,,,,,,1970,,,,,,,0,70,0,0,0,0,0,0,70,1970,1
Trinidad & Tobago,TTO,0,1,0,0,0,0,0,1,,1797,,,,,,1592,,1962,,,,,,1797,0,165,0,0,0,0,0,205,370,1962,2
Tunisia,TUN,0,0,1,0,0,0,0,0,,,1877,,,,,,,,1956,,,,,,0,0,79,0,0,0,0,0,79,1956,1
Turkey,TUR,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,TKM,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,TUV,0,1,0,0,0,0,0,0,,1892,,,,,,,,1978,,,,,,,0,86,0,0,0,0,0,0,86,1978,1
Uganda,UGA,0,1,0,0,0,0,0,0,,1892,,,,,,,,1962,,,,,,,0,70,0,0,0,0,0,0,70,1962,1
Ukraine,UKR,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,0,1,0,0,0,0,0,0,,1892,,,,,,,,1971,,,,,,,0,79,0,0,0,0,0,0,79,1971,1
United Kingdom,GBR,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
United States,USA,0,1,0,0,0,0,0,0,,1607,,,,,,,,1781,,,,,,,0,174,0,0,0,0,0,0,174,1781,1
Uruguay,URY,0,0,0,0,0,0,1,1,,,,,,,1680,1590,,,,,,,1822,1823,0,0,0,0,0,0,142,233,375,1823,2
Uzbekistan,UZB,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,0,1,1,0,0,0,0,0,,1906,1887,,,,,,,1980,1980,,,,,,0,74,93,0,0,0,0,0,167,1980,2
Venezuela,VEN,0,0,0,0,0,0,0,1,,,,,,,,1534,,,,,,,,1820,0,0,0,0,0,0,0,286,286,1820,1
Vietm,VNM,0,0,1,0,0,0,0,0,,,1869,,,,,,,,1951,,,,,,0,0,82,0,0,0,0,0,82,1951,1
Yemen,YEM,0,1,0,0,0,0,0,0,,1879,,,,,,,,1967,,,,,,,0,88,0,0,0,0,0,0,88,1967,1
Zambia,ZMB,0,1,0,0,0,0,0,0,,1900,,,,,,,,1964,,,,,,,0,64,0,0,0,0,0,0,64,1964,1
Zimbabwe,ZWE,0,1,0,0,0,0,0,0,,1900,,,,,,,,1975,,,,,,,0,75,0,0,0,0,0,0,75,1975,1
